"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0.042,,,,20.9661853459,-0.306115737185
0.0422,,,,21.7227751872,-0.306115737185
0.0424,,,,22.0340578648,-0.306115737185
0.0426,,,,21.8265360798,-0.306115737185
0.0428,,,,21.7919491156,-0.306115737185
0.043,,,,21.8265360798,-0.306115737185
0.0432,,,,21.8957100081,0.0470947287977
0.0434,,,,22.5139519927,-0.306115737185
0.0436,,,,23.2705418341,-0.306115737185
0.0438,,,,23.4780636191,0.0470947287977
0.044,,,,23.6488367547,-0.306115737185
0.0442,,,,23.6142497906,-0.306115737185
0.0444,,,,22.7906477061,-0.306115737185
0.0446,,,,21.7919491156,-0.306115737185
0.0448,,,,21.1391201668,-0.306115737185
0.045,,,,20.2787694329,0.0470947287977
0.0452,,,,19.3859934201,-0.306115737185
0.0454,,,,18.8693506428,-0.306115737185
0.0456,,,,18.4910557221,-0.306115737185
0.0458,,,,17.6998789166,-0.306115737185
0.046,,,,16.8741151469,-0.306115737185
0.0462,,,,16.1866992339,0.0470947287977
0.0464,,,,15.0864014361,0.0470947287977
0.0466,,,,13.9861036383,-0.306115737185
0.0468,,,,13.4024486179,-0.306115737185
0.047,,,,13.1949268328,-0.306115737185
0.0472,,,,12.6782840554,-0.306115737185
0.0474,,,,12.1983899275,-0.306115737185
0.0476,,,,11.7509210785,-0.306115737185
0.0478,,,,10.7889711374,-0.306115737185
0.048,,,,9.99779433187,-0.306115737185
0.0482,,,,9.82485951099,-0.306115737185
0.0484,,,,9.6194994112,-0.306115737185
0.0486,,,,9.24120449054,0.0470947287977
0.0488,,,,9.24120449054,-0.306115737185
0.049,,,,8.99909574131,-0.306115737185
0.0492,,,,8.34626679251,0.0470947287977
0.0494,,,,7.62426391535,-0.306115737185
0.0496,,,,6.31644433248,-0.306115737185
0.0498,,,,4.73625240673,0.0470947287977
