"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0.8436,,,,-0.0108084263047,0.0470947287977
0.8438,,,,-0.0453953904798,0.0470947287977
0.844,,,,-0.0453953904798,0.0470947287977
0.8442,,,,-0.0453953904798,-0.306115737185
0.8444,,,,-0.0453953904798,0.0470947287977
0.8446,,,,-0.0108084263047,0.0470947287977
0.8448,,,,-0.0108084263047,-0.306115737185
0.845,,,,-0.0453953904798,0.0470947287977
0.8452,,,,-0.0108084263047,0.0470947287977
0.8454,,,,-0.0453953904798,0.0470947287977
0.8456,,,,-0.0453953904798,0.0470947287977
0.8458,,,,-0.0453953904798,-0.306115737185
0.846,,,,-0.0453953904798,-0.306115737185
0.8462,,,,-0.0453953904798,0.0470947287977
0.8464,,,,-0.0453953904798,-0.306115737185
0.8466,,,,-0.0453953904798,-0.306115737185
0.8468,,,,-0.0453953904798,0.0470947287977
0.847,,,,-0.0108084263047,0.0470947287977
0.8472,,,,-0.0453953904798,-0.306115737185
0.8474,,,,-0.0453953904798,0.0470947287977
0.8476,,,,-0.0453953904798,0.0470947287977
0.8478,,,,-0.0453953904798,-0.306115737185
0.848,,,,-0.0453953904798,0.0470947287977
0.8482,,,,-0.0108084263047,0.0470947287977
0.8484,,,,-0.0453953904798,-0.306115737185
0.8486,,,,-0.0453953904798,0.0470947287977
0.8488,,,,-0.0453953904798,0.0470947287977
0.849,,,,-0.0453953904798,-0.306115737185
0.8492,,,,-0.0108084263047,-0.306115737185
0.8494,,,,-0.0108084263047,0.0470947287977
0.8496,,,,-0.0453953904798,-0.306115737185
0.8498,,,,-0.0453953904798,0.0470947287977
0.85,,,,-0.0108084263047,0.0470947287977
0.8502,,,,-0.0108084263047,0.0470947287977
0.8504,,,,-0.0108084263047,0.0470947287977
0.8506,,,,-0.0108084263047,0.0470947287977
0.8508,,,,-0.0108084263047,0.0470947287977
0.851,,,,-0.0453953904798,0.0470947287977
0.8512,,,,-0.0108084263047,0.0470947287977
0.8514,,,,-0.0453953904798,-0.306115737185
0.8516,,,,-0.0453953904798,0.0470947287977
0.8518,,,,-0.0108084263047,-0.306115737185
0.852,,,,-0.0453953904798,-0.306115737185
0.8522,,,,-0.0108084263047,0.0470947287977
0.8524,,,,-0.0108084263047,-0.306115737185
0.8526,,,,-0.0108084263047,-0.306115737185
0.8528,,,,-0.0108084263047,0.0470947287977
0.853,,,,0.0237785378704,0.0470947287977
0.8532,,,,-0.0108084263047,-0.306115737185
0.8534,,,,-0.0108084263047,0.0470947287977
0.8536,,,,0.0237785378704,0.0470947287977
0.8538,,,,0.0237785378704,-0.306115737185
0.854,,,,-0.0108084263047,0.0470947287977
0.8542,,,,-0.0108084263047,0.0470947287977
0.8544,,,,0.0237785378704,0.0470947287977
0.8546,,,,0.0237785378704,0.0470947287977
0.8548,,,,0.0237785378704,0.0470947287977
0.855,,,,0.0237785378704,0.0470947287977
0.8552,,,,-0.0108084263047,0.0470947287977
0.8554,,,,0.0237785378704,0.0470947287977
0.8556,,,,0.0237785378704,0.0470947287977
0.8558,,,,-0.0108084263047,0.0470947287977
0.856,,,,-0.0108084263047,0.0470947287977
0.8562,,,,-0.0453953904798,0.0470947287977
0.8564,,,,-0.0108084263047,0.0470947287977
0.8566,,,,-0.0108084263047,-0.306115737185
0.8568,,,,-0.0108084263047,0.0470947287977
0.857,,,,-0.0108084263047,0.0470947287977
0.8572,,,,-0.0108084263047,-0.306115737185
0.8574,,,,-0.0108084263047,-0.306115737185
0.8576,,,,-0.0108084263047,0.0470947287977
0.8578,,,,-0.0108084263047,0.0470947287977
0.858,,,,-0.0453953904798,0.0470947287977
0.8582,,,,-0.0108084263047,0.0470947287977
0.8584,,,,-0.0108084263047,0.0470947287977
0.8586,,,,-0.0453953904798,0.0470947287977
0.8588,,,,-0.0108084263047,0.0470947287977
0.859,,,,0.0237785378704,0.0470947287977
0.8592,,,,-0.0108084263047,0.0470947287977
0.8594,,,,-0.0108084263047,0.0470947287977
0.8596,,,,-0.0108084263047,0.0470947287977
0.8598,,,,-0.0453953904798,0.0470947287977
0.86,,,,-0.0108084263047,0.0470947287977
0.8602,,,,-0.0108084263047,0.0470947287977
0.8604,,,,-0.0108084263047,0.0470947287977
0.8606,,,,0.0237785378704,0.0470947287977
0.8608,,,,0.0237785378704,0.0470947287977
0.861,,,,-0.0108084263047,0.0470947287977
0.8612,,,,0.0237785378704,0.0470947287977
0.8614,,,,0.0237785378704,0.0470947287977
0.8616,,,,-0.0108084263047,0.0470947287977
0.8618,,,,0.0237785378704,0.0470947287977
0.862,,,,-0.0108084263047,0.0470947287977
0.8622,,,,-0.0453953904798,0.0470947287977
0.8624,,,,-0.0108084263047,0.0470947287977
0.8626,,,,-0.0108084263047,-0.306115737185
0.8628,,,,-0.0453953904798,0.0470947287977
0.863,,,,-0.0453953904798,0.0470947287977
0.8632,,,,-0.0108084263047,0.0470947287977
0.8634,,,,-0.0453953904798,0.0470947287977
0.8636,,,,-0.0108084263047,0.0470947287977
0.8638,,,,-0.0108084263047,0.0470947287977
0.864,,,,-0.0453953904798,0.0470947287977
0.8642,,,,-0.0108084263047,-0.306115737185
0.8644,,,,-0.0108084263047,-0.306115737185
0.8646,,,,-0.0108084263047,0.0470947287977
0.8648,,,,-0.0108084263047,0.0470947287977
0.865,,,,-0.0108084263047,-0.306115737185
0.8652,,,,-0.0453953904798,0.0470947287977
0.8654,,,,-0.0108084263047,0.0470947287977
0.8656,,,,-0.0108084263047,-0.306115737185
0.8658,,,,-0.0453953904798,0.0470947287977
0.866,,,,-0.0108084263047,0.0470947287977
0.8662,,,,-0.0108084263047,-0.306115737185
0.8664,,,,-0.0108084263047,0.0470947287977
0.8666,,,,-0.0108084263047,0.0470947287977
0.8668,,,,-0.0108084263047,-0.306115737185
0.867,,,,-0.0108084263047,0.0470947287977
0.8672,,,,0.0237785378704,0.0470947287977
0.8674,,,,-0.0108084263047,0.0470947287977
0.8676,,,,-0.0108084263047,0.0470947287977
0.8678,,,,-0.0108084263047,0.0470947287977
0.868,,,,-0.0108084263047,0.0470947287977
0.8682,,,,-0.0108084263047,0.0470947287977
0.8684,,,,-0.0108084263047,0.0470947287977
0.8686,,,,-0.0108084263047,0.0470947287977
0.8688,,,,-0.0108084263047,0.0470947287977
0.869,,,,0.0237785378704,0.0470947287977
0.8692,,,,0.0237785378704,0.0470947287977
0.8694,,,,-0.0108084263047,0.0470947287977
0.8696,,,,0.0237785378704,-0.306115737185
0.8698,,,,0.0237785378704,-0.306115737185
0.87,,,,-0.0108084263047,0.0470947287977
0.8702,,,,-0.0108084263047,0.0470947287977
0.8704,,,,0.0237785378704,-0.306115737185
0.8706,,,,-0.0108084263047,0.0470947287977
0.8708,,,,0.0237785378704,0.0470947287977
0.871,,,,0.0237785378704,-0.306115737185
0.8712,,,,0.0237785378704,0.0470947287977
0.8714,,,,0.0583655020455,0.0470947287977
0.8716,,,,0.0237785378704,0.0470947287977
0.8718,,,,-0.0108084263047,0.0470947287977
0.872,,,,0.0237785378704,0.0470947287977
0.8722,,,,0.0237785378704,-0.306115737185
0.8724,,,,0.0237785378704,0.0470947287977
0.8726,,,,-0.0108084263047,0.0470947287977
0.8728,,,,0.0237785378704,0.0470947287977
0.873,,,,0.0237785378704,0.0470947287977
0.8732,,,,0.0237785378704,0.0470947287977
0.8734,,,,0.0583655020455,0.0470947287977
0.8736,,,,0.0237785378704,0.0470947287977
0.8738,,,,0.0583655020455,0.0470947287977
0.874,,,,-0.0108084263047,0.0470947287977
0.8742,,,,-0.0108084263047,0.0470947287977
0.8744,,,,0.0237785378704,0.0470947287977
0.8746,,,,0.0237785378704,0.0470947287977
0.8748,,,,0.0237785378704,0.0470947287977
0.875,,,,0.0237785378704,0.0470947287977
0.8752,,,,0.0237785378704,-0.306115737185
0.8754,,,,-0.0108084263047,0.0470947287977
0.8756,,,,-0.0108084263047,0.0470947287977
0.8758,,,,0.0237785378704,-0.306115737185
0.876,,,,-0.0108084263047,0.0470947287977
0.8762,,,,-0.0108084263047,0.0470947287977
0.8764,,,,-0.0108084263047,0.0470947287977
0.8766,,,,-0.0108084263047,0.0470947287977
0.8768,,,,-0.0108084263047,0.0470947287977
0.877,,,,-0.0453953904798,0.0470947287977
0.8772,,,,-0.0108084263047,0.0470947287977
0.8774,,,,-0.0108084263047,0.0470947287977
0.8776,,,,-0.0453953904798,0.0470947287977
0.8778,,,,-0.0108084263047,0.0470947287977
0.878,,,,-0.0453953904798,0.0470947287977
0.8782,,,,-0.0453953904798,0.0470947287977
0.8784,,,,-0.0108084263047,0.0470947287977
0.8786,,,,-0.0108084263047,0.0470947287977
0.8788,,,,-0.0453953904798,0.0470947287977
0.879,,,,-0.0453953904798,0.0470947287977
0.8792,,,,-0.0108084263047,0.0470947287977
0.8794,,,,-0.0453953904798,0.0470947287977
0.8796,,,,-0.0108084263047,0.0470947287977
