"Latest: Time (s)","Latest: Y-Axis Acceleration 1 (m/s²)","Latest: Y-Axis Acceleration 2 (m/s²)","Latest: Y-Axis Acceleration 3 (m/s²)","Latest: Z-Axis Acceleration (m/s²)","Latest: Potential (mV)"
0.8494,-0.0416554808908,-0.0799424160505,0.0576809870836,-0.0108084263047,0.0470947287977
0.8496,-0.0416554808908,-0.0423224555561,0.0576809870836,-0.0453953904798,-0.306115737185
0.8498,-0.00657718119328,-0.0799424160505,0.0945968188171,-0.0453953904798,0.0470947287977
0.85,0.0285011185042,-0.0423224555561,0.0207651553501,-0.0108084263047,0.0470947287977
0.8502,-0.00657718119328,-0.0799424160505,0.0945968188171,-0.0108084263047,0.0470947287977
0.8504,-0.0416554808908,-0.0799424160505,0.0207651553501,-0.0108084263047,0.0470947287977
0.8506,-0.00657718119328,-0.0799424160505,0.0207651553501,-0.0108084263047,0.0470947287977
0.8508,-0.00657718119328,-0.0799424160505,0.0207651553501,-0.0108084263047,0.0470947287977
0.851,-0.00657718119328,-0.0799424160505,0.0207651553501,-0.0453953904798,0.0470947287977
0.8512,-0.00657718119328,-0.0799424160505,0.0207651553501,-0.0108084263047,0.0470947287977
0.8514,-0.0767337805883,-0.0799424160505,0.0207651553501,-0.0453953904798,-0.306115737185
0.8516,-0.00657718119328,-0.0799424160505,0.0207651553501,-0.0453953904798,0.0470947287977
0.8518,-0.0416554808908,-0.0799424160505,-0.0507592686336,-0.0108084263047,-0.306115737185
0.852,-0.00657718119328,-0.0799424160505,0.0207651553501,-0.0453953904798,-0.306115737185
0.8522,-0.00657718119328,-0.0799424160505,-0.0507592686336,-0.0108084263047,0.0470947287977
0.8524,0.131543623866,-0.0799424160505,0.0207651553501,-0.0108084263047,-0.306115737185
0.8526,-0.00657718119328,-0.0799424160505,-0.0138434369001,-0.0108084263047,-0.306115737185
0.8528,-0.0416554808908,-0.0799424160505,0.0207651553501,-0.0108084263047,0.0470947287977
0.853,-0.0416554808908,-0.0423224555561,0.0207651553501,0.0237785378704,0.0470947287977
0.8532,-0.0416554808908,-0.0423224555561,0.0207651553501,-0.0108084263047,-0.306115737185
0.8534,-0.0416554808908,-0.0423224555561,0.0576809870836,-0.0108084263047,0.0470947287977
0.8536,-0.0416554808908,-0.0423224555561,0.0576809870836,0.0237785378704,0.0470947287977
0.8538,-0.181968679681,-0.0423224555561,-0.0138434369001,0.0237785378704,-0.306115737185
0.854,-0.0416554808908,-0.0423224555561,0.0576809870836,-0.0108084263047,0.0470947287977
0.8542,-0.111812080286,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.8544,-0.0767337805883,-0.00470249506179,0.0576809870836,0.0237785378704,0.0470947287977
0.8546,-0.111812080286,-0.0423224555561,0.0576809870836,0.0237785378704,0.0470947287977
0.8548,-0.00657718119328,0.0329174654325,0.0576809870836,0.0237785378704,0.0470947287977
0.855,-0.0767337805883,-0.0423224555561,0.0576809870836,0.0237785378704,0.0470947287977
0.8552,-0.146890379983,0.0329174654325,0.0576809870836,-0.0108084263047,0.0470947287977
0.8554,-0.0767337805883,-0.0423224555561,0.0576809870836,0.0237785378704,0.0470947287977
0.8556,-0.0767337805883,0.0329174654325,0.0576809870836,0.0237785378704,0.0470947287977
0.8558,-0.111812080286,-0.00470249506179,0.0945968188171,-0.0108084263047,0.0470947287977
0.856,-0.0416554808908,-0.0423224555561,0.0576809870836,-0.0108084263047,0.0470947287977
0.8562,-0.0767337805883,-0.0799424160505,0.0207651553501,-0.0453953904798,0.0470947287977
0.8564,-0.0416554808908,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.8566,-0.111812080286,-0.0423224555561,0.0207651553501,-0.0108084263047,-0.306115737185
0.8568,-0.0416554808908,-0.00470249506179,0.0576809870836,-0.0108084263047,0.0470947287977
0.857,-0.0416554808908,-0.0423224555561,0.0207651553501,-0.0108084263047,0.0470947287977
0.8572,-0.00657718119328,0.0329174654325,0.0576809870836,-0.0108084263047,-0.306115737185
0.8574,-0.00657718119328,-0.0423224555561,0.0207651553501,-0.0108084263047,-0.306115737185
0.8576,-0.111812080286,-0.0423224555561,0.0576809870836,-0.0108084263047,0.0470947287977
0.8578,-0.0416554808908,-0.0423224555561,0.0207651553501,-0.0108084263047,0.0470947287977
0.858,-0.0416554808908,-0.0423224555561,0.0576809870836,-0.0453953904798,0.0470947287977
0.8582,-0.0416554808908,-0.00470249506179,0.0207651553501,-0.0108084263047,0.0470947287977
0.8584,-0.00657718119328,-0.0423224555561,0.131512650551,-0.0108084263047,0.0470947287977
